Configuration,accuracy,f1,precision,recall,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall
best_config_rf_1_1,0.7239780698218173,0.7236096103051853,0.7251481072159007,0.7239780698218173,0.6186708860759493,0.594894904365644,0.6097994184917679,0.6186708860759493
best_config_rf_1_2,0.7239780698218173,0.7236096103051853,0.7251481072159007,0.7239780698218173,0.6186708860759493,0.594894904365644,0.6097994184917679,0.6186708860759493
best_config_rf_1_3,0.729685889507318,0.7291473966656041,0.7313990524781206,0.729685889507318,0.620253164556962,0.59620721957648,0.6120334909609292,0.620253164556962
best_config_rf_1_4,0.729685889507318,0.7291473966656041,0.7313990524781206,0.729685889507318,0.620253164556962,0.59620721957648,0.6120334909609292,0.620253164556962
best_config_rf_2_1,0.7343811980972345,0.7340262983797124,0.7355849222518455,0.7343811980972346,0.6193037974683544,0.5922539862856292,0.6113744416090182,0.6193037974683544
best_config_rf_2_2,0.731476255744578,0.7311053289525098,0.7327000771677286,0.731476255744578,0.6322784810126582,0.6020231328863245,0.6291602584057814,0.6322784810126582
best_config_rf_2_3,0.7257340965895348,0.7253940918179305,0.7268366939149613,0.7257340965895348,0.6212025316455697,0.5991567789820447,0.6128560066220927,0.6212025316455697
best_config_rf_2_4,0.7431427880351529,0.742609830906741,0.744900528829292,0.7431427880351529,0.6227848101265824,0.5813761369965115,0.6219007298329047,0.6227848101265824
best_config_rf_2_5,0.7342739659759736,0.7338298335638557,0.7356763854529325,0.7342739659759736,0.6262658227848101,0.5885929312789673,0.6249219641664563,0.6262658227848101
best_config_rf_2_6,0.7441570587761025,0.7434482164096894,0.7466877719141767,0.7441570587761025,0.6174050632911393,0.5725017441280744,0.6158013146208152,0.6174050632911393
best_config_rf_2_7,0.733638635813916,0.7331424383047409,0.7352372095209623,0.733638635813916,0.6341772151898735,0.6006855074559876,0.6335828441912195,0.6341772151898735
best_config_rf_2_8,0.7300878819640408,0.7296851372188707,0.731393747522554,0.7300878819640408,0.6341772151898735,0.6042031288637932,0.6317247250337645,0.6341772151898735
best_config_rf_2_9,0.7308433443521728,0.7304332680883567,0.7321582438864155,0.7308433443521728,0.6408227848101266,0.6113853720682514,0.6407763836841757,0.6408227848101266
best_config_rf_2_10,0.7329968555994519,0.7326341857690888,0.734127933297955,0.7329968555994519,0.635759493670886,0.6029652810577782,0.6358202708315801,0.635759493670886
best_config_rf_3_1,0.7451793920825607,0.7445016456911608,0.7475029330079253,0.7451793920825607,0.6196202531645569,0.5742014553382407,0.6197952495451734,0.6196202531645569
best_config_rf_3_2,0.7451793920825607,0.7445016456911608,0.7475029330079253,0.7451793920825607,0.6196202531645569,0.5742014553382407,0.6197952495451734,0.6196202531645569
best_config_rf_3_3,0.7451793920825607,0.7445016456911608,0.7475029330079253,0.7451793920825607,0.6196202531645569,0.5742014553382407,0.6197952495451734,0.6196202531645569
best_config_rf_3_4,0.7451793920825607,0.7445016456911608,0.7475029330079253,0.7451793920825607,0.6196202531645569,0.5742014553382407,0.6197952495451734,0.6196202531645569
best_config_rf_3_5,0.7451793920825607,0.7445016456911608,0.7475029330079253,0.7451793920825607,0.6196202531645569,0.5742014553382407,0.6197952495451734,0.6196202531645569
best_config_rf_3_6,0.7451793920825607,0.7445016456911608,0.7475029330079253,0.7451793920825607,0.6196202531645569,0.5742014553382407,0.6197952495451734,0.6196202531645569
best_config_rf_3_7,0.7451793920825607,0.7445016456911608,0.7475029330079253,0.7451793920825607,0.6196202531645569,0.5742014553382407,0.6197952495451734,0.6196202531645569
best_config_rf_3_8,0.7451793920825607,0.7445016456911608,0.7475029330079253,0.7451793920825607,0.6196202531645569,0.5742014553382407,0.6197952495451734,0.6196202531645569
best_config_rf_3_9,0.7341336773361283,0.7338315714686343,0.7353049798853888,0.7341336773361283,0.6088607594936709,0.5976778730472322,0.6002776167781088,0.6088607594936709
best_config_rf_3_10,0.6395871966459727,0.6346348167708503,0.6490415235635977,0.6395871966459727,0.5781645569620253,0.5780277451933877,0.5785831898365819,0.5781645569620253
