Configuration,accuracy,f1,precision,recall,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall
best_config_svm_3_1,0.7340070950576474,0.7331081123891644,0.7367265614410603,0.7340070950576474,0.6329113924050633,0.6115793385604177,0.6284091682624706,0.6329113924050633
best_config_svm_3_2,0.734261872127711,0.7333746571954918,0.7369494587079195,0.734261872127711,0.633227848101266,0.6118444227891792,0.6288794449658899,0.633227848101266
best_config_svm_3_3,0.734261872127711,0.7333746571954918,0.7369494587079195,0.734261872127711,0.633227848101266,0.6118444227891792,0.6288794449658899,0.633227848101266
best_config_svm_3_4,0.734261872127711,0.7333746571954918,0.7369494587079195,0.734261872127711,0.633227848101266,0.6118444227891792,0.6288794449658899,0.633227848101266
best_config_svm_3_5,0.7340070950576474,0.7331081123891644,0.7367265614410603,0.7340070950576474,0.6329113924050633,0.6115793385604177,0.6284091682624706,0.6329113924050633
best_config_svm_3_6,0.734261872127711,0.7333746571954918,0.7369494587079195,0.734261872127711,0.633227848101266,0.6118444227891792,0.6288794449658899,0.633227848101266
best_config_svm_3_7,0.7340070950576474,0.7331081123891644,0.7367265614410603,0.7340070950576474,0.6329113924050633,0.6115793385604177,0.6284091682624706,0.6329113924050633
best_config_svm_3_8,0.734261872127711,0.7333746571954918,0.7369494587079195,0.734261872127711,0.633227848101266,0.6118444227891792,0.6288794449658899,0.633227848101266
best_config_svm_3_9,0.734261872127711,0.7333746571954918,0.7369494587079195,0.734261872127711,0.633227848101266,0.6118444227891792,0.6288794449658899,0.633227848101266
best_config_svm_3_10,0.7340070950576474,0.7331081123891644,0.7367265614410603,0.7340070950576474,0.6329113924050633,0.6115793385604177,0.6284091682624706,0.6329113924050633
best_config_svm_3_11,0.734261872127711,0.7333746571954918,0.7369494587079195,0.734261872127711,0.633227848101266,0.6118444227891792,0.6288794449658899,0.633227848101266
