Configuration,accuracy,f1,precision,recall,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall
best_config_lr_1_1,0.7256429895992905,0.7249149229441851,0.7285248890117026,0.7256429895992905,0.6341772151898735,0.6068020909304769,0.6303818300890035,0.6341772151898735
best_config_lr_1_2,0.725513501485115,0.7248590048981136,0.7278349378662741,0.725513501485115,0.6341772151898735,0.6068020909304769,0.6303818300890035,0.6341772151898735
best_config_lr_1_3,0.725513501485115,0.7248590048981136,0.7278349378662741,0.725513501485115,0.6341772151898735,0.6068020909304769,0.6303818300890035,0.6341772151898735
best_config_lr_1_4,0.7256429895992905,0.7249149229441851,0.7285248890117026,0.7256429895992905,0.6341772151898735,0.6068020909304769,0.6303818300890035,0.6341772151898735
best_config_lr_1_5,0.7256429895992905,0.7249149229441851,0.7285248890117026,0.7256429895992905,0.6341772151898735,0.6068020909304769,0.6303818300890035,0.6341772151898735
best_config_lr_1_6,0.725513501485115,0.7248590048981136,0.7278349378662741,0.725513501485115,0.6341772151898735,0.6068020909304769,0.6303818300890035,0.6341772151898735
best_config_lr_1_7,0.7256429895992905,0.7249149229441851,0.7285248890117026,0.7256429895992905,0.6341772151898735,0.6068020909304769,0.6303818300890035,0.6341772151898735
best_config_lr_1_8,0.725513501485115,0.7248590048981136,0.7278349378662741,0.725513501485115,0.6341772151898735,0.6068020909304769,0.6303818300890035,0.6341772151898735
best_config_lr_1_9,0.7256429895992905,0.7249149229441851,0.7285248890117026,0.7256429895992905,0.6341772151898735,0.6068020909304769,0.6303818300890035,0.6341772151898735
best_config_lr_1_10,0.7279336734693878,0.7271871941023856,0.7309049823524367,0.7279336734693878,0.6341772151898735,0.6068020909304769,0.6303818300890035,0.6341772151898735
best_config_lr_2_1,0.7261525437394178,0.7254190982716112,0.7290716978572089,0.7261525437394178,0.6341772151898735,0.6077224312624411,0.6300477464024695,0.6341772151898735
best_config_lr_2_2,0.7261525437394178,0.7254190982716112,0.7290716978572089,0.7261525437394178,0.6341772151898735,0.6077224312624411,0.6300477464024695,0.6341772151898735
best_config_lr_2_3,0.7261525437394178,0.7254190982716112,0.7290716978572089,0.7261525437394178,0.6341772151898735,0.6077224312624411,0.6300477464024695,0.6341772151898735
best_config_lr_2_4,0.7262807385310006,0.7255422294439684,0.7292141124070954,0.7262807385310006,0.6341772151898735,0.6077224312624411,0.6300477464024695,0.6341772151898735
best_config_lr_2_5,0.7261525437394178,0.7254190982716112,0.7290716978572089,0.7261525437394178,0.6341772151898735,0.6077224312624411,0.6300477464024695,0.6341772151898735
best_config_lr_2_6,0.7253922438119809,0.7245959521404683,0.7284962884040674,0.7253922438119809,0.6344936708860759,0.6081368220819988,0.630413994068616,0.6344936708860759
best_config_lr_2_7,0.7253922438119809,0.7245959521404683,0.7284962884040674,0.7253922438119809,0.6344936708860759,0.6081368220819988,0.630413994068616,0.6344936708860759
best_config_lr_2_8,0.7264057082963798,0.7256960076497043,0.7292441750113229,0.7264057082963798,0.6344936708860759,0.607524898359242,0.6306432941460909,0.6344936708860759
best_config_lr_2_9,0.7266620978795452,0.7259580403351024,0.7294744164659225,0.7266620978795452,0.6338607594936708,0.6065374354343642,0.6299661288520035,0.6338607594936708
best_config_lr_2_10,0.7264057082963798,0.7256960076497043,0.7292441750113229,0.7264057082963798,0.6335443037974684,0.606727168512175,0.6293742166745319,0.6335443037974684
best_config_lr_3_1,0.7256429895992905,0.7249149229441851,0.7285248890117026,0.7256429895992905,0.6341772151898735,0.6068020909304769,0.6303818300890035,0.6341772151898735
best_config_lr_3_2,0.7256429895992905,0.7249149229441851,0.7285248890117026,0.7256429895992905,0.6341772151898735,0.6068020909304769,0.6303818300890035,0.6341772151898735
best_config_lr_3_3,0.7256429895992905,0.7249149229441851,0.7285248890117026,0.7256429895992905,0.6341772151898735,0.6068020909304769,0.6303818300890035,0.6341772151898735
best_config_lr_3_4,0.7256429895992905,0.7249149229441851,0.7285248890117026,0.7256429895992905,0.6341772151898735,0.6068020909304769,0.6303818300890035,0.6341772151898735
best_config_lr_3_5,0.7256429895992905,0.7249149229441851,0.7285248890117026,0.7256429895992905,0.6341772151898735,0.6068020909304769,0.6303818300890035,0.6341772151898735
best_config_lr_3_6,0.7256429895992905,0.7249149229441851,0.7285248890117026,0.7256429895992905,0.6341772151898735,0.6068020909304769,0.6303818300890035,0.6341772151898735
best_config_lr_3_7,0.7256429895992905,0.7249149229441851,0.7285248890117026,0.7256429895992905,0.6341772151898735,0.6068020909304769,0.6303818300890035,0.6341772151898735
best_config_lr_3_8,0.7261525437394178,0.7254190982716112,0.7290716978572089,0.7261525437394178,0.6341772151898735,0.6077224312624411,0.6300477464024695,0.6341772151898735
best_config_lr_3_9,0.7261525437394178,0.7254190982716112,0.7290716978572089,0.7261525437394178,0.6341772151898735,0.6077224312624411,0.6300477464024695,0.6341772151898735
best_config_lr_3_10,0.7261525437394178,0.7254190982716112,0.7290716978572089,0.7261525437394178,0.6341772151898735,0.6077224312624411,0.6300477464024695,0.6341772151898735
