Configuration,accuracy,f1,precision,recall,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall
best_config_xgb_1_1,0.7347691057382522,0.7345961215164191,0.7353198083295214,0.7347691057382522,0.6075949367088608,0.5894540934725627,0.597265148187415,0.6075949367088608
best_config_xgb_1_2,0.7347691057382522,0.7345961215164191,0.7353198083295214,0.7347691057382522,0.6075949367088608,0.5894540934725627,0.597265148187415,0.6075949367088608
best_config_xgb_1_3,0.741627025719584,0.7412616136645422,0.7429527729627211,0.741627025719584,0.6075949367088608,0.5894540934725627,0.597265148187415,0.6075949367088608
best_config_xgb_1_4,0.741627025719584,0.7412616136645422,0.7429527729627211,0.741627025719584,0.6075949367088608,0.5894540934725627,0.597265148187415,0.6075949367088608
best_config_xgb_1_5,0.7347691057382522,0.7345961215164191,0.7353198083295214,0.7347691057382522,0.6075949367088608,0.5894540934725627,0.597265148187415,0.6075949367088608
best_config_xgb_1_6,0.741627025719584,0.7412616136645422,0.7429527729627211,0.741627025719584,0.6075949367088608,0.5894540934725627,0.597265148187415,0.6075949367088608
best_config_xgb_1_7,0.7347691057382522,0.7345961215164191,0.7353198083295214,0.7347691057382522,0.6075949367088608,0.5894540934725627,0.597265148187415,0.6075949367088608
best_config_xgb_1_8,0.741627025719584,0.7412616136645422,0.7429527729627211,0.741627025719584,0.6075949367088608,0.5894540934725627,0.597265148187415,0.6075949367088608
best_config_xgb_1_9,0.744025716347145,0.7434868163656719,0.7458826856714766,0.744025716347145,0.6075949367088608,0.5894540934725627,0.597265148187415,0.6075949367088608
best_config_xgb_1_10,0.744025716347145,0.7434868163656719,0.7458826856714766,0.744025716347145,0.6075949367088608,0.5894540934725627,0.597265148187415,0.6075949367088608
best_config_xgb_2_1,0.7170004547257617,0.7166075742682215,0.7181491756519209,0.7170004547257617,0.5996835443037976,0.5887716225501337,0.5903063553639085,0.5996835443037976
best_config_xgb_2_2,0.7175040393192659,0.7172223054680542,0.7183491339616807,0.7175040393192659,0.6060126582278481,0.5931472492921489,0.5965756944392625,0.6060126582278481
best_config_xgb_2_3,0.7210600915256532,0.7207286360560892,0.7220606183297837,0.7210600915256532,0.6148734177215189,0.6023551466983494,0.6061141812864672,0.6148734177215189
best_config_xgb_2_4,0.7150877040219041,0.714813352170732,0.7159468659420457,0.7150877040219041,0.5977848101265824,0.5855072788990504,0.5877363819099353,0.5977848101265824
