Configuration,accuracy,f1,precision,recall,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall
best_config_knn_3_1,0.7413649923405627,0.7395360652957591,0.7476139525509775,0.7413649923405627,0.6405063291139241,0.601399372078021,0.6480436246576559,0.6405063291139241
best_config_knn_3_2,0.7413649923405627,0.7395360652957591,0.7476139525509775,0.7413649923405627,0.6405063291139241,0.601399372078021,0.6480436246576559,0.6405063291139241
best_config_knn_3_3,0.7413649923405627,0.7395360652957591,0.7476139525509775,0.7413649923405627,0.6405063291139241,0.601399372078021,0.6480436246576559,0.6405063291139241
best_config_knn_3_4,0.7413649923405627,0.7395360652957591,0.7476139525509775,0.7413649923405627,0.6405063291139241,0.601399372078021,0.6480436246576559,0.6405063291139241
best_config_knn_3_5,0.7413649923405627,0.7395360652957591,0.7476139525509775,0.7413649923405627,0.6405063291139241,0.601399372078021,0.6480436246576559,0.6405063291139241
best_config_knn_3_6,0.7413649923405627,0.7395360652957591,0.7476139525509775,0.7413649923405627,0.6405063291139241,0.601399372078021,0.6480436246576559,0.6405063291139241
best_config_knn_3_7,0.7413649923405627,0.7395360652957591,0.7476139525509775,0.7413649923405627,0.6405063291139241,0.601399372078021,0.6480436246576559,0.6405063291139241
best_config_knn_3_8,0.7413649923405627,0.7395360652957591,0.7476139525509775,0.7413649923405627,0.6405063291139241,0.601399372078021,0.6480436246576559,0.6405063291139241
best_config_knn_3_9,0.7249907280496654,0.7241753966104018,0.7273130446296967,0.7249907280496654,0.6110759493670885,0.595655411048494,0.6016042485931894,0.6110759493670885
best_config_knn_3_10,0.6216979762960574,0.6157143160767475,0.627851973657641,0.6216979762960574,0.5955696202531645,0.5795684441639501,0.592276369954296,0.5955696202531645
