uniprot_id,database,processed,has_go_terms,has_go_terms_pair
Q96VN5,MoonProt3,True,True,True
P54253,MoonDB,True,True,True
P07359,MoonDB,True,True,True
O15287,MoonDB,True,True,True
Q9UQE7,MoonDB,True,True,True
Q06208,MoonDB,True,True,True
P29055,MoonDB,True,True,True
Q9Y7F0,MoonProt3,True,True,True
Q94420,MoonDB,True,True,True
P32121,MoonProt3,True,True,True
Q6ZU80,MoonDB,True,True,True
Q9NRI5,MoonDB,True,True,True
Q7L5D6,MoonDB,True,True,True
Q14247,MoonDB,True,True,True
P00805,MoonProt3,True,True,True
Q9BWF3,MoonDB,True,True,True
O15151,MoonDB,True,True,True
Q9CW03,MoonProt3,True,True,True
P56192,MoonProt3,True,True,True
P39099,MoonProt3,True,True,True
P23202,MoonProt3,True,True,True
P14540,MoonProt3,True,True,True
Q12309,MoonProt3,True,True,True
Q08438,MoonProt3,True,True,True
Q8R010,MoonProt3,True,True,True
P0A7V8,MoonProt3,True,True,True
Q9D1M4,MoonProt3,True,True,True
P14120,MoonProt3,True,True,True
P19338,MoonProt3,True,True,True
Q9NQX3,MoonProt3,True,True,True
Q5JFD7,MoonProt3,True,True,True
P9WQN9,MoonProt3,True,True,True
P9WQP1,MoonProt3,True,True,True
P9WQP3,MoonProt3,True,True,True
P32527,MoonProt3,True,True,True
Q5JFG7,MoonProt3,True,True,True
P36969,MoonProt3,True,True,True
P76014,MoonProt3,True,True,True
O35244,MoonProt3,True,True,True
P05062,MoonDB,True,True,True
P48962,MoonProt3,True,True,True
P51881,MoonProt3,True,True,True
P61978,MoonDB,True,True,True
P12235,MoonProt3,True,True,True
P23256,MoonProt3,True,True,True
P46108,MoonDB,True,True,True
Q80VW7,MoonProt3,True,True,True
P19971,MoonProt3,True,True,True
P51965,MoonDB,True,True,True
P05064,MoonProt3,True,True,True
Q15750,MoonDB,True,True,True
P04764,MoonProt3,True,True,True
P45973,MoonDB,True,True,True
P09382,MoonDB,True,True,True
Q8DTS9,MoonProt3,True,True,True
Q9UJV3,MoonDB,True,True,True
P36024,MoonProt3,True,True,True
P28741,MoonProt3,True,True,True
