accession_code,go_id,category
P02686,GO:0032991,C
P02686,GO:0005516,F
P02686,GO:0008289,F
P02686,GO:0008366,P
P02686,GO:0007417,P
P02686,GO:0007268,P
P02686,GO:0006955,P
P02686,GO:0035633,P
P02686,GO:0000165,P
P02686,GO:0034115,P
P02686,GO:2000343,P
P02686,GO:0032755,P
P02686,GO:1904685,P
P02747,GO:0062167,C
P02747,GO:0005576,C
P02747,GO:0006958,P
P02747,GO:0030853,P
P02747,GO:0045650,P
Q15428,GO:0071013,C
Q15428,GO:0005654,C
Q15428,GO:0005634,C
Q15428,GO:0005681,C
Q15428,GO:0005686,C
Q15428,GO:0071005,C
Q15428,GO:0005684,C
Q15428,GO:0000389,P
Q15428,GO:0006397,P
Q15428,GO:0000398,P
Q15428,GO:1903241,P
O95429,GO:0005829,C
O95429,GO:0005634,C
O95429,GO:0005886,C
O95429,GO:0031625,F
O95429,GO:0071356,P
O95429,GO:0043066,P
O95429,GO:1903215,P
O95429,GO:0006457,P
P0AFW0,GO:0001000,F
P0AFW0,GO:0061980,F
P0AFW0,GO:0001073,F
P0AFW0,GO:0008494,F
P0AFW0,GO:0006354,P
P0AFW0,GO:0045727,P
P0AFW0,GO:0031564,P
P06821,GO:0005576,C
P06821,GO:0005886,C
P06821,GO:0015078,F
P06821,GO:0019061,P
P13721,GO:0005797,C
P13721,GO:0000138,C
P13721,GO:0008373,F
P13721,GO:0050922,P
P13721,GO:2000110,P
P13721,GO:0032946,P
P13721,GO:1900024,P
P13721,GO:0045471,P
P10645,GO:0005576,C
P10645,GO:0048471,C
P10645,GO:0071880,P
P10645,GO:0050829,P
P10645,GO:0050830,P
P10645,GO:0045576,P
P10645,GO:0002551,P
P10645,GO:0043303,P
P10645,GO:0033604,P
P10645,GO:0008217,P
P60411,GO:0005829,C
O94913,GO:0005739,C
O94913,GO:0005654,C
O94913,GO:0005634,C
O94913,GO:0000993,F
O94913,GO:0006369,P
P16333,GO:0005737,C
P16333,GO:0005829,C
P16333,GO:0005783,C
P16333,GO:0005886,C
P16333,GO:0000164,C
P16333,GO:0005840,C
P16333,GO:0071074,F
P16333,GO:0140693,F
P16333,GO:0004860,F
P16333,GO:0140311,F
P16333,GO:0030674,F
P16333,GO:0030971,F
P16333,GO:0035591,F
P16333,GO:0005102,F
P16333,GO:0140374,P
P16333,GO:0046627,P
P16333,GO:1903898,P
P16333,GO:0050860,P
P16333,GO:0000122,P
P16333,GO:0030838,P
P16333,GO:1903676,P
P16333,GO:1903679,P
P16333,GO:1902237,P
P16333,GO:0042102,P
P16333,GO:0045944,P
P16333,GO:0036493,P
P16333,GO:0036491,P
P16333,GO:0034976,P
P16333,GO:0042110,P
A8I4E9,GO:0097545,C
A8I4E9,GO:0031514,C
A8I4E9,GO:0070840,F
A8I4E9,GO:0048870,P
A8I4E9,GO:0003341,P
A8I4E9,GO:0036159,P
Q92890,GO:0005829,C
Q92890,GO:0005654,C
Q92890,GO:0036501,C
Q92890,GO:0034098,C
Q92890,GO:0004843,F
Q92890,GO:0071218,P
Q92890,GO:0036503,P
Q92890,GO:0039536,P
Q92890,GO:0032480,P
Q92890,GO:0030970,P
Q92890,GO:0001501,P
Q92890,GO:0006511,P
P0DTD2,GO:0031966,C
P0DTD2,GO:0098799,C
P0DTD2,GO:0042802,F
P0DTD2,GO:0140311,F
P0DTD2,GO:0050687,P
P0DTD2,GO:0039545,P
P0DTD2,GO:0039502,P
O62479,GO:0005814,C
